,TMIN,TMAX,PRCP,SNOW
1969-01-17,3.0264054755437595,3.006474536732731,1.9907477240746876,1.0074171761743698
1969-01-18,3.0276075809256713,3.006278592757387,1.9924535824719927,1.0135459871791475
1969-01-19,3.0280122438184702,3.005802266524448,1.9957729515561198,1.020900691216581
1969-01-20,3.028056839626088,3.005166800249742,1.999827769352163,1.0258579043443647
1969-01-21,3.028085295926023,3.004452981771646,2.0028298557655035,1.0333136758703496
1969-01-22,3.0276255611537826,3.0039024840768436,2.0036578147718997,1.0446100119612882
1969-01-23,3.0259116259202115,3.00335764342964,2.004850232905641,1.0535180153616042
1969-01-24,3.023178626455313,3.0025265336900135,2.0057134184447913,1.0574377331052938
1969-01-25,3.0201127413194255,3.001471333290928,2.009469379756412,1.0651849322438978
1969-01-26,3.017888734417805,3.00065234997156,2.012483145120227,1.079651974593792
1969-01-27,3.0158549401548034,3.000086228459431,2.0127295682655113,1.087748167293187
1969-01-28,3.01302057866388,2.9993887103231587,2.0130230865753553,1.0934082737313169
1969-01-29,3.0115927765265837,2.9986002151271123,2.0150672280764352,1.0983838032971551
1969-01-30,3.0099409058922104,2.99799500216365,2.0189169732571814,1.1034021802448712
1969-01-31,3.0058644026568837,2.997316669198635,2.0200525411865233,1.1047147492790355
1969-02-01,3.002748779203649,2.9966524261398684,2.0211597111109985,1.1118660100223625
1969-02-02,3.001335828505173,2.996012202003171,2.0195590987546312,1.1095604283822367
1969-02-03,2.9988800257211734,2.9955068298055516,2.0193048986748074,1.1100320766621432
1969-02-04,2.99602641096035,2.9950393592668227,2.019208974116384,1.1157046121118102
1969-02-05,2.9945757215619007,2.994495498014373,2.020039507369404,1.1206405650882802
1969-02-06,2.9947290428658313,2.9941040579198064,2.022702741634979,1.1293968037161437
1969-02-07,2.995921050053527,2.993941793088526,2.0239817357472973,1.134781836504203
1969-02-08,2.996423786155322,2.9939564350138768,2.0259723058212575,1.1374017413045163
1969-02-09,2.9971297867446487,2.994012127739598,2.0297748474481128,1.1464654344282965
1969-02-10,2.998522607072793,2.9944676320086625,2.0303496360733355,1.153395916677215
1969-02-11,3.0009293196376943,2.9952153179589267,2.03090052485095,1.152807828183961
1969-02-12,3.002810960167473,2.9958186247870864,2.0311136453741154,1.149400970705801
1969-02-13,3.0042932631882127,2.9962995393961807,2.0311849926516095,1.1485279961849477
1969-02-14,3.0060133829499427,2.996512577891749,2.0348471971914375,1.1537573392495428
1969-02-15,3.00723137945108,2.9964430463194636,2.0401610654627937,1.1679139833902614
1969-02-16,3.008798006015386,2.996230543101384,2.0427783968464555,1.1795462298719517
1969-02-17,3.0105289648234352,2.996241953743941,2.0419620625958688,1.1803923838942252
1969-02-18,3.011176800881276,2.9963258101698163,2.040367492944735,1.178490418049803
1969-02-19,3.0108688951949554,2.9960791468897656,2.038650985295605,1.1819692329631777
1969-02-20,3.0111662503585315,2.9957335821587363,2.0386945307095563,1.1924887558330497
1969-02-21,3.014166131068248,2.9959787734593872,2.038774007186917,1.1947361173665019
1969-02-22,3.0172623954769624,2.996577481492071,2.040980949463989,1.1941382164957186
1969-02-23,3.020002567535692,2.9967729357740764,2.0416586808568535,1.198501453703731
1969-02-24,3.0226014667066288,2.9967035107785347,2.0436616615092764,1.2092725005176028
1969-02-25,3.0247395983632446,2.996540740442694,2.04633652053066,1.2264978021909732
1969-02-26,3.025705303724175,2.9962494061182654,2.047624185789503,1.2401500901266875
1969-02-27,3.0252952705236877,2.995920880004799,2.0482783696000872,1.2484431845351698
1969-02-28,3.0248255971732183,2.9957278163399286,2.0486043505147316,1.252165019332019
1969-03-01,3.0257481252157765,2.9955180340485326,2.047773302412386,1.2533869874136634
1969-03-02,3.025542249858936,2.994931757949217,2.048003141989943,1.2560435250900859
1969-03-03,3.024659993523746,2.9941822741441495,2.0500321360819385,1.2644635262479464
1969-03-04,3.0244602454230627,2.993473575548713,2.050459921676243,1.2680806956844837
1969-03-05,3.023200752058294,2.992505494015536,2.051263764056369,1.2726006038537132
1969-03-06,3.0214027600705666,2.9914039892350153,2.0541669723020006,1.279712615086923
1969-03-07,3.01867544421268,2.990271909072438,2.0563711506511178,1.2931143603163904
1969-03-08,3.0146339608556723,2.9890621589020054,2.0573563012855978,1.3018640573592342
1969-03-09,3.0095160695221743,2.9875474135240303,2.0567768248217853,1.3045376031567073
1969-03-10,3.003037707186838,2.985886840092519,2.0554845530163517,1.3081586975442563
1969-03-11,2.995900491000806,2.9844792232450126,2.0520624850405786,1.3079434793971145
1969-03-12,2.9913866883418843,2.9835739709132874,2.04831066962089,1.305285633403688
1969-03-13,2.9884281987223247,2.983014200633499,2.039522543910618,1.2957100612521313
1969-03-14,2.9866612982878005,2.982587797009856,2.0354242890899554,1.2890994625106669
1969-03-15,2.984772907490661,2.98214723252248,2.0365314861117634,1.290389463076514
1969-03-16,2.9827672239965457,2.9816603005364737,2.0381437774186058,1.291227113038262
1969-03-17,2.980935943870405,2.9813289332522865,2.037622099565844,1.2904921659613202
1969-03-18,2.979652628188526,2.981179698380632,2.0385841090780374,1.2872252984025776
1969-03-19,2.978285478792016,2.981266884416255,2.0383196391090497,1.2832221754498894
1969-03-20,2.977821638045307,2.9813792767274787,2.0368222946883185,1.2825676898686875
1969-03-21,2.977624417333619,2.9815288040185957,2.033810073872478,1.2799085355582571
1969-03-22,2.9786148461559208,2.981998758567809,2.0303682790383624,1.2764297206448825
1969-03-23,2.9806031703446636,2.9824501566844197,2.0309729018270946,1.2706606968161778
1969-03-24,2.9829893844392554,2.982389336034429,2.0379650434108756,1.264242420674287
1969-03-25,2.9832064514382814,2.98181717589821,2.0406282776764506,1.2648641983303912
1969-03-26,2.98134711064431,2.9809101747660756,2.0407180240429756,1.2691845881565258
1969-03-27,2.9788678253888365,2.980081276410841,2.0402369108975473,1.2699391599885261
1969-03-28,2.975251337840458,2.9793029142642715,2.0395412952649767,1.2742458124861196
1969-03-29,2.9704787297967545,2.9779864901631488,2.0394695686248223,1.276742735488066
1969-03-30,2.965295631147967,2.976332678746973,2.039802269678022,1.2778312552353122
1969-03-31,2.960992010765928,2.974949573094019,2.0398005354487174,1.2788170720977523
1969-04-01,2.959737673050517,2.974374547317023,2.03817984396868,1.27919190491937
1969-04-02,2.959973656226154,2.9744737165147193,2.0369365370437746,1.2793472675635833
1969-04-03,2.9605651362929533,2.974860979197458,2.0345808033118145,1.2737957514367775
1969-04-04,2.961723681149394,2.975441976776749,2.0313664092952957,1.261605180673672
1969-04-05,2.9640802045144143,2.9760006938192447,2.031774657712588,1.2579232495454415
1969-04-06,2.966144573339373,2.9765604677723334,2.0319706527213675,1.2592469392741392
1969-04-07,2.967636127528675,2.9771562171547,2.031492980937216,1.2588318757046513
1969-04-08,2.969124573106401,2.9776301967303316,2.0316565675358618,1.2577227499645938
1969-04-09,2.970696858028314,2.978066546079858,2.032430521557812,1.2567372601814046
1969-04-10,2.9720979368888902,2.9782623059540603,2.0336876210251567,1.2563012635398545
1969-04-11,2.9728490197156825,2.97818011060466,2.034374863581865,1.2558364839242184
1969-04-12,2.9734186495305868,2.977889938265327,2.0369852580483077,1.25571971663162
1969-04-13,2.973820381398027,2.977692922986931,2.040992601317131,1.2539551240726077
1969-04-14,2.9746244996409654,2.9776566663710717,2.0423907153048253,1.2492523786020828
1969-04-15,2.976342104817101,2.9775527186375665,2.042453066267801,1.2481942772251773
1969-04-16,2.97866803270294,2.9774825128604236,2.044259753840783,1.2489684738122362
1969-04-17,2.980105359925367,2.977610927150656,2.0485444654090488,1.2473013508700144
1969-04-18,2.980840659589314,2.97773902920464,2.0534710044041025,1.2433443460917137
1969-04-19,2.9806707286388114,2.9777932032706698,2.056615975053762,1.2424098806716768
1969-04-20,2.9795486892515597,2.9779286886810943,2.0546649128911523,1.2409455468650599
1969-04-21,2.978809689750084,2.978290390280956,2.049177432007982,1.2399953816409763
1969-04-22,2.9789888085894916,2.978714865399077,2.04867282547494,1.2377028831708894
1969-04-23,2.9791003452615965,2.97895756639254,2.047668002176783,1.2339382009921622
1969-04-24,2.9789814637006584,2.979098533725543,2.0441852090780075,1.233636961002014
1969-04-25,2.979847322568256,2.979518486619021,2.0414326078085683,1.2350401309886985
1969-04-26,2.9814895705962803,2.9799070487876356,2.0410234651792907,1.238361293703103
1969-04-27,2.98251204559919,2.9801266729263682,2.0458375231455257,1.2400882721482533
1969-04-28,2.9824144312230394,2.98021359017574,2.046739701746702,1.239371641509366
1969-04-29,2.981981268510226,2.9800836138620883,2.0458733458196035,1.2390167605220577
1969-04-30,2.9814426012739896,2.979631610887732,2.0438306675744995,1.2398010965658968
1969-05-01,2.9811338745032803,2.9791322345117055,2.0431007738158256,1.2397409139837174
1969-05-02,2.9814156302025805,2.978849162815039,2.043809016805522,1.2395096689532776
1969-05-03,2.9821581017140675,2.9785620563353534,2.045493847672506,1.2396411548121697
1969-05-04,2.982865756924154,2.978319312634367,2.0474562365202624,1.239958094606365
1969-05-05,2.984286405989602,2.978466496679828,2.049244226933551,1.2405674432509322
1969-05-06,2.986811185076463,2.979003871700235,2.0525108646078785,1.2406711273734914
1969-05-07,2.9896397337011447,2.9797432950777814,2.0565080192795353,1.2408997557699233
1969-05-08,2.992188794007964,2.98027831958372,2.0593179585053667,1.2404088098142092
1969-05-09,2.992730529040898,2.9804278206950534,2.0623521823555118,1.2403103589596656
1969-05-10,2.9919431276863717,2.980348088450929,2.061038124294436,1.2403607291643157
1969-05-11,2.9908621208109847,2.980425845548623,2.056729919338556,1.239814506815187
1969-05-12,2.9900230321439967,2.980808162280144,2.05066480461021,1.2390854471647625
1969-05-13,2.989630609645456,2.981294613388555,2.045777773526507,1.2389480738793528
1969-05-14,2.989540063549571,2.981730933174946,2.0436541826453993,1.2380453351466607
1969-05-15,2.989276175832208,2.981981199378012,2.040250026006665,1.2376662502947802
1969-05-16,2.9889163024047094,2.9821460371855677,2.041303787088018,1.237202778996148
1969-05-17,2.98930748565143,2.98230969047778,2.0413046271053377,1.236481569247747
1969-05-18,2.9904011688791647,2.9825177420954927,2.0437081876298455,1.236312142195742
1969-05-19,2.9923216065451754,2.98288612725238,2.0456702784069405,1.2359739422502334
1969-05-20,2.994143766569001,2.9832330120702277,2.047223768501415,1.2360684681537653
1969-05-21,2.9956507571451363,2.9836238621294084,2.0478793071786443,1.2362797613498953
1969-05-22,2.9969255698846937,2.9840197405418176,2.0485535159182335,1.236254903326821
1969-05-23,2.9981810377536524,2.9844829832533017,2.0463471155878192,1.2362254661942333
1969-05-24,2.999399618327921,2.985149905175728,2.043055304491239,1.2360622536479966
1969-05-25,3.000160573004229,2.985810864080725,2.040665401022507,1.236017770869864
1969-05-26,3.0008921731866813,2.986493991040793,2.036937946105085,1.235950065464912
1969-05-27,3.0021385907521694,2.987317214301348,2.031356518768791,1.2359474488309043
1969-05-28,3.0039362743736113,2.9882500929571174,2.02612169341747,1.2359055826867795
1969-05-29,3.0061380341359136,2.9891188258936943,2.0237456095885102,1.2359055826867795
1969-05-30,3.0081919020738446,2.989797506609853,2.022735393921109,1.235857829116137
1969-05-31,3.0094646417160584,2.9902441342692767,2.0225824294769557,1.235951046702665
1969-06-01,3.0097550341311257,2.9904285586281745,2.0234955012059532,1.2360259478511384
1969-06-02,3.009002826289932,2.9902715376068136,2.022632938905459,1.2360370685456716
1969-06-03,3.007248999651084,2.989926865249296,2.0220084808690526,1.2360403393381814
1969-06-04,3.0057936642385856,2.9896848000111897,2.0213219699403324,1.2360423018136872
1969-06-05,3.0051000802996115,2.9897306603668166,2.0204392201268364,1.2360390310211773
1969-06-06,3.0049686854632265,2.9899600259788905,2.0195334646777185,1.2360390310211773
1969-06-07,3.004608009610134,2.990110104578812,2.0188084755362974,1.2359958565600486
1969-06-08,3.0038332915446944,2.990141362540458,2.0181701707627853,1.235992585767539
1969-06-09,3.00249287264671,2.99014305846652,2.0162354482919076,1.2359804838352528
1969-06-10,3.0010104016554777,2.9900162170574522,2.0146642094443905,1.235952355019669
1969-06-11,2.999864541298577,2.989837874886832,2.013982603132923,1.236057347459232
1969-06-12,2.999004703621935,2.9895938929329446,2.0141661333685743,1.2371138134398827
1969-06-13,2.9981138289800224,2.9892144291344973,2.015424912870558,1.2385395518948845
1969-06-14,2.997702408557069,2.988839058954999,2.0178434853174863,1.2385562329366844
1969-06-15,2.99763799602591,2.9885350397191317,2.0211502270444877,1.2385562329366844
1969-06-16,2.9974800555110495,2.9881697458235243,2.0227653906686163,1.2385562329366844
1969-06-17,2.996856285701332,2.987848219876179,2.0222072127084543,1.2385562329366844
1969-06-18,2.996544002313214,2.987696036924299,2.021322593178989,1.2385562329366844
1969-06-19,2.9966857619710243,2.987620276255497,2.020653912295309,1.2385562329366844
1969-06-20,2.995869678967684,2.9872510220170696,2.021186889735885,1.2385562329366844
1969-06-21,2.9948699440149773,2.9868282419519985,2.020892314630059,1.2385562329366844
1969-06-22,2.9949247669497456,2.986443325741397,2.022456941728351,1.2385562329366844
1969-06-23,2.994963780059365,2.98596556868251,2.026253603233969,1.2385562329366844
1969-06-24,2.9944148469143625,2.9854563934484166,2.0306071420277707,1.2386062760620835
1969-06-25,2.994088228076663,2.985131046375149,2.0318247064864323,1.2387119226601486
1969-06-26,2.9944940138956895,2.985052151575666,2.0294429864122323,1.2388332690622605
1969-06-27,2.9955256278620697,2.985243002754329,2.0256143500538055,1.23886663114586
1969-06-28,2.997159371511202,2.98549205724292,2.024425806838668,1.2389163471920084
1969-06-29,2.9985735434172707,2.985704140540613,2.025318853638661,1.2389120951617456
1969-06-30,2.9992441382450066,2.9859092958989795,2.0264456420321473,1.2386105280923463
1969-07-01,2.99935281949333,2.9861483991043576,2.0265304837814195,1.2385889408617818
1969-07-02,3.000022798699116,2.9863885679278077,2.026861992551973,1.2385856700692721
1969-07-03,3.0013026984652305,2.986641591877526,2.0267024976505934,1.2385856700692721
1969-07-04,3.0031015376654064,2.986934872427737,2.026727996240841,1.2385856700692721
1969-07-05,3.004768363499286,2.987183834041736,2.0271831772386957,1.2385856700692721
1969-07-06,3.0060391342906634,2.9872388781781085,2.0284396534673843,1.2385856700692721
1969-07-07,3.0067040051238845,2.9870853590397064,2.0316770260221917,1.2385856700692721
1969-07-08,3.0071254217293157,2.986919951773865,2.0350897996127846,1.2385856700692721
1969-07-09,3.007430880507192,2.986828532274517,2.0364760449686745,1.2385856700692721
1969-07-10,3.0080950204070276,2.9869738594916786,2.0356543454461753,1.2385856700692721
1969-07-11,3.0093634369144775,2.987268651427975,2.0350617538732454,1.2385856700692721
1969-07-12,3.010433777664992,2.9874590173395608,2.0355346023321426,1.2385856700692721
1969-07-13,3.0108712670035196,2.9876095687765996,2.03442567108103,1.2385856700692721
1969-07-14,3.0112332030652684,2.9877700443755986,2.03350807409744,1.2385856700692721
1969-07-15,3.011217587148376,2.987903652099048,2.033366951187759,1.2385856700692721
1969-07-16,3.0111382684850785,2.9880502620633003,2.0332166422822286,1.2385856700692721
1969-07-17,3.0112755873753914,2.988090993593599,2.0339348570904274,1.2385856700692721
1969-07-18,3.011508172825018,2.9880775872195953,2.034415943138523,1.238587632544778
1969-07-19,3.011917361568193,2.9879814247063923,2.0345454683897284,1.238587632544778
1969-07-20,3.0124139961603538,2.987816572813568,2.0361032398627996,1.238587632544778
1969-07-21,3.0126950799382106,2.9877083426837783,2.037230028256286,1.238587632544778
1969-07-22,3.0133691320201352,2.9876568739619294,2.039245013027178,1.238587632544778
1969-07-23,3.0140208263608113,2.9876401156121224,2.042271730916114,1.238587632544778
1969-07-24,3.01442009981366,2.987656538432752,2.0425260122879356,1.2385895950202839
1969-07-25,3.0147296172912066,2.987741154397069,2.041665563579407,1.2385948282882995
1969-07-26,3.0147780769531263,2.987813089714835,2.04051934639824,1.2385967907638054
1969-07-27,3.014583898651912,2.987759593842484,2.0416294970293327,1.238600061556315
1969-07-28,3.0142116397832113,2.987647738579868,2.0429930619175956,1.238600061556315
1969-07-29,3.01403642209437,2.9876567656382838,2.04297555704055,1.238600061556315
1969-07-30,3.014489454019696,2.987765339050453,2.0429196010481356,1.238600061556315
1969-07-31,3.014646357983381,2.98789697735762,2.0428205602964296,1.238600061556315
1969-08-01,3.014808576774998,2.988166720487529,2.040860176651307,1.238600061556315
1969-08-02,3.0153364428288545,2.9884962815604266,2.0397462865882754,1.238600061556315
1969-08-03,3.0156140032215877,2.9886553309998325,2.0400584478631463,1.238600061556315
1969-08-04,3.0152328809909106,2.988623394196848,2.042417704248382,1.238600061556315
1969-08-05,3.014437511403983,2.988469628212423,2.043560588457604,1.2386066031413345
1969-08-06,3.0133343775634254,2.9883220391264484,2.0424943626031227,1.2386066031413345
1969-08-07,3.0117788935382905,2.988178963783857,2.0421774592949964,1.2386098739338443
1969-08-08,3.010450177412896,2.9881087008751717,2.040768614763478,1.2386334236399146
1969-08-09,3.0094448892369616,2.988139024860665,2.040398248417563,1.2386916437465882
1969-08-10,3.0084951614455533,2.9883046185029283,2.0401809278078007,1.2387413597927364
1969-08-11,3.008223466706072,2.9887441260020084,2.0368053859525963,1.2387413597927364
1969-08-12,3.009513589973828,2.9892318792062698,2.0341370573884388,1.2387413597927364
1969-08-13,3.010645171297374,2.989657280226286,2.0335500478660835,1.2387577137552852
1969-08-14,3.0109863449004566,2.990084501872486,2.0326009908790104,1.2387577137552852
1969-08-15,3.0115283233333194,2.990740451201615,2.0310088870851697,1.2387577137552852
1969-08-16,3.0126850068683235,2.9913430070916305,2.0293044377491753,1.2387577137552852
1969-08-17,3.0133203609435792,2.9917685317893716,2.029190872827041,1.2387577137552852
1969-08-18,3.01414341416758,2.992196843107997,2.028424397668968,1.2387675261328144
1969-08-19,3.015022391123227,2.9926597286968764,2.029095002463283,1.2387622928647988
1969-08-20,3.0150670918228677,2.992968200110198,2.0310604262123233,1.2387570595967832
1969-08-21,3.014254359928535,2.9931562645350427,2.029837008729758,1.2387570595967832
1969-08-22,3.012785891691178,2.993265148256747,2.0312312748961827,1.2387436493474933
1969-08-23,3.0116752135660736,2.993377709955721,2.0318704467843474,1.2387436493474933
1969-08-24,3.010830211397145,2.993502101012394,2.0302008988131126,1.2387456118229991
1969-08-25,3.0107305187192335,2.9935465462762494,2.0296834210469483,1.2387456118229991
1969-08-26,3.0108058788020298,2.993647839646686,2.029514984025716,1.2387456118229991
1969-08-27,3.0113639808084596,2.993908061147933,2.0296690594605176,1.2387456118229991
